SAT Score,HS GPA,College GPA
1020,2.5,1.64
870,3.2,1.51
1040,3.75,3.19
870,3.25,2.19
1260,2.3,2.02
670,2.25,1.43
1200,2.5,1.69
1300,3.7,2.98
1190,4,2.86
930,2.8,2.66
870,2.8,2.52
1280,4,3.54
1080,3.5,3
930,2.9,2.24
940,3.1,2.91
1000,2.9,2.76
940,2.6,2.88
1120,3.5,3.11
1100,2.5,3
850,3.1,2.92
770,2,0.92
1130,2.9,2.37
1090,3,2.35
920,2.2,1.91
1330,4,3.94
1000,2.8,1.47
1080,3.6,2.18
1040,2.8,2.96
1150,3,2.04
860,3.3,2
1200,2.3,1.94
800,2.7,1.65
1030,2,0.6
1090,3,2.37
1000,2.6,2.27
1010,4,2.69
1290,4,3.18
930,3,3
1120,3.5,2.79
850,2.5,2.06
1010,3.3,2.54
980,3.5,2.79
1080,3,2.33
1110,3.33,3.34
1100,3.4,2.16
980,3.2,1
1040,2,3.33
1200,4,3.09
860,2.7,1.55
940,2.4,1.77
1090,4,4
1280,4,3.41
1080,3.25,1.13
960,2.9,1.91
1050,3.6,2.77
1070,2.25,1.47
1070,2.5,3.34
1370,3.5,2.31
810,2.7,2.58
1000,3,2.29
1110,3,2.48
1100,3.25,1.8
950,2.7,2.31
1100,3,2.81
1070,3.5,2.23
910,2.8,2.28
1160,3,2.28
950,3.4,3.1
1020,2.8,2.09
700,2.8,1.7
1050,2.1,1.88
1320,3.5,3.65
920,2.25,1.08
1010,3.8,3.51
930,2.2,2.05
940,2.7,2
1020,2.5,1.79
980,2.2,2.08
1180,3.7,3.49
1090,3.3,2.58
800,2.03,1.31
890,2.7,0.52
1410,4,3.48
1060,2.8,2.51
960,3.4,2.04
750,2.9,1.51
1190,4,3.19
980,2.7,2.29
1000,3.5,3.06
830,3.1,2.02
1110,3.7,2.15
820,2.3,2.38
1020,3.8,2.07
940,3.4,1.9
1030,3.25,2.91
1210,3.1,2.95
970,2,0.47
1030,2.75,1.15
1030,2.4,2.64
1030,2.1,2.66
970,2.2,1.78
1210,3.7,2.65
1080,3.75,3.81
1030,3.9,2
1160,3.75,3.25
1110,4,3.08
1030,3.1,3.17
1100,4,1.44
1000,3.1,3.15
830,3.4,3.11
1200,4,3.92
1290,4,3.16
870,3.2,2.13
1040,4,3.17
860,2.5,1.59
700,2.2,0.82
1140,3.8,2.38
1090,3.5,2.81
930,3.25,1.69
1220,3.2,2.37
1300,3.2,2.78
720,3.25,1.62
1040,2.8,2.2
1240,4,3.75
990,3.75,2.73
1090,2.9,2.29
900,2.7,2.42
810,2.75,0
1080,3.2,2.49
920,3.7,2.91
1210,4,3.94
790,2.2,2.35
1260,3.8,2.91
1160,3.5,2.17
1010,3.8,3.1
940,3.8,3.27
1280,4,3.21
920,2,0
1090,2.5,2.56
1010,3.5,2.04
1050,3.6,2.38
1010,3.3,1.86
990,2.9,1.83
930,2.5,1.69
1060,3.5,1.89
940,3.7,2.07
1230,4,3.77
1090,3.25,2.8
880,3.9,2.24
960,3,2.24
1060,4,2.98
1010,4,2.8
840,2.6,2.18
1190,3.6,3.35
1050,3.5,2.11
980,2.4,2.05
920,2.5,1.24
1020,3.5,1.96
780,2,2
1030,3.5,2.61
930,2.9,1.73
1160,3.3,1.88
1030,3.5,3.16
1100,3.2,2.74
1150,4,3.89
850,2.1,1.64
860,2,1.14
880,2.5,1.33
850,2.75,2.54
860,3,1.33
1130,2.9,2.85
1080,2.8,2.72
1020,4,3.77
1250,4,3.77
970,3.3,3.04
900,3.3,2.29
1020,3.7,3.26
950,2.4,2.24
1230,2.75,2.57
910,3.1,2.37
1120,2.4,2.34
1160,3.3,1.98
1160,2.9,2.31
1150,3,3
1090,2.7,1.17
1200,3,2.54
1120,2.5,2.38
970,3.1,2.27
920,2.4,1.21
1220,3.3,2.75
1250,3.6,3.21
1100,3.4,2.23
1010,3.25,2.67
700,2.3,1.13
1100,3.4,2.44
1320,4,4
930,2.75,2.44
830,3,2.88
1000,2.8,2.54
1150,4,3.37
1120,2.7,2.11
720,2.3,3.12
1120,3.75,3.48
990,3,2.94
1060,3.25,3.07
740,2.8,1.52
1270,3,2.49
940,3.8,2.17
1020,3,1.91
1010,4,2.04
890,3,2.36
1240,3.8,3.33
930,2.5,1.72
1040,3.2,3.06
1260,4,3.12
1000,3.5,2.61
1090,2.8,2.24
1010,3.5,2.54
1170,4,2.8
1030,2.8,1.83
1220,3.2,1.96
1190,4,3.24
890,3.7,2.37
1060,3.4,2.56
1180,3.2,1.98
970,2.8,1.86
900,3.6,3.1
950,3.25,3.06
1000,3.3,0.48
1260,2.7,3.4
970,3.4,3.02
970,3.2,2.56
1440,4,3.82
1140,2.6,2.67
990,3.3,2.69
910,2.3,0.87
1060,3,2.69
1000,2.74,1.62
1080,4,3.67
1200,3.5,2.95
1090,2.8,1.65
1130,3.5,2.98
940,2.6,1.67
900,3.5,2.16
910,3,2
1060,2.5,1.78
1030,3.2,3.17
1040,2.8,2.24
1180,2.3,2.15
930,3,2.56
1160,3.9,3.98
910,2.5,2.23
1040,3.7,3.1
970,2.6,1.87
1040,2.2,2.36
1250,3.5,2.94
940,2.9,3
980,3.5,2.38
1060,4,3.22
880,2.7,2.12
910,3.8,2.58
990,2.8,1.72
1010,3.3,3.35
970,2.7,2.48
850,3.7,1.55
880,3.75,2.31
1250,4,3.67
880,3,1.45
1040,3.5,2.19
1080,2.5,2.19
1180,3.8,3.17
1250,2.5,2.72
1220,4,3.82
1200,3.5,3.02
920,3,2.59
1150,3.8,3.62
1100,2.2,1.49
1160,4,2.96
1230,2.6,2.24
1310,3,3.25
900,2.6,3.4
1000,3,2.19
900,2.5,1.7
950,4,3.49
1020,3.25,1.64
1070,4,3.69
920,2.7,1.63
1250,4,3.82
980,2.9,2.48
1100,3.7,3.1
770,3.5,2.71
1070,3.5,1.19
1060,3.4,3.4
1090,3,3.21
980,2.7,1.5
1070,3.8,1.94
1030,3.7,2.58
1300,4,3.37
1070,3.5,2.13
920,3.5,2.45
1110,2.8,2.31
880,3.5,3.02
1170,2.1,2.86
930,2.3,2.53
1130,3.8,2.93
740,3,1.28
1090,3.8,3.76
1130,2.2,1.36
920,3.1,2.42
760,3.2,2.24
920,3.75,1.69
530,2.47,2.19
1240,3.75,2.52
1090,3.2,2.03
1120,4,2.33
1120,4,3.51
910,2.8,1.6
920,2.3,1.86
910,3,3.35
1010,3.5,2.66
870,2.9,3.27
1060,3.4,1.6
990,3,2.24
980,2.9,1.92
1110,3.75,3.19
1050,3.4,2.52
920,3.5,3.73
1030,3.1,2.43
850,2.6,2.54
950,2.75,1.81
1000,3.25,2.68
1060,3.1,2.59
1050,3.25,2.7
920,2.4,2.54
720,2.67,1.62
980,2.4,2.54
880,3,1.03
1080,2.75,2.53
1120,3.2,1.71
960,2.7,2.38
1110,3.8,1.85
940,3.8,2.73
1070,3.2,1.54
1230,4,3.31
1160,4,3.91
970,2.6,1.74
900,3.1,2.49
850,3.5,3.1
980,2.9,1.71
770,3.2,2.24
970,3.75,3.27
940,2.5,3.07
1170,3,1.89
920,3.2,2.52
840,2.7,1.96
1120,3.9,2.37
1060,3.7,3.6
890,2.5,1.75
740,3.5,2
1100,3.7,3.13
1050,3.5,1.43
880,3.4,2.37
1210,3.25,2.79
1150,2.9,3.24
1200,2.1,2.62
790,4.5,1.13
1170,3.75,2.79
1150,3.75,2.63
940,3,1.62
870,3,2.39
1060,3.8,3.34
930,2.75,1.52
1330,4,4
1190,3.5,3.22
770,2.6,1.62
1140,3.6,4
930,2.1,1.68
1100,2.9,2.06
900,3.7,2.66
1180,3,2.32
870,3.5,2.47
1030,2.5,2.4
1040,3.5,2.6
980,2.75,2.21
1040,2.8,2.2
1030,4,2.91
1100,4,1.85
900,2.8,2.27
1050,3.5,1.97
950,2.1,1.96
1260,3.7,2.43
1120,2.8,2.2
1140,3.25,3
920,3.5,1.7
1050,4,3.42
1080,3,1.88
1030,3.75,3.13
1160,3.5,3.59
1120,3,4
1040,2.3,2.14
1070,3.3,0.66
1140,3,2.57
900,3.6,3.56
880,2.5,2.15
930,3.1,2.67
1110,3.4,3
990,3.9,2.98
930,2.8,2.6
1120,3.3,3.38
1000,3.6,3.04
1260,3.8,3.71
1140,3,2.4
1110,4,2.91
1180,3.7,3.03
1220,4,3.83
780,3.8,2.53
1080,3.3,1.5
1170,2.25,2.64
880,2.7,1.84
1050,3.25,1.8
1090,3.67,2.13
880,3.1,1.17
1030,4,3.78
760,3.1,1.93
1090,3.5,3.47
1250,4,2.98
1300,4,3.48
1120,3.2,2.7
900,3.1,2.02
1210,3.2,2.09
1140,3.3,3.22
1140,3.2,3.46
1040,2.75,3.16
1040,3.5,2.96
1170,3,2.19
880,2.5,1.8
920,3.25,2.4
970,3.8,3.02
1330,3.7,3.24
1400,4,3.59
850,3,1.97
840,2,2
1220,3.8,3.11
870,2.2,1.77
770,3.1,1.82
860,2.75,1.54
1210,3.8,3.52
1010,3.1,2.59
1160,3.25,2.49
880,3,1.98
820,3.2,1.87
1090,4,2.34
1070,3.5,2.56
940,2.75,2.04
1120,2.75,3.2
930,3,1.24
1100,4,2.91
910,4,3.41
1000,3.1,1.5
850,2,1.73
910,2.7,2.91
1180,3.7,2.4
1020,4,1.17
1080,3.7,1.33
960,3.5,2.56
1210,3.7,3.87
740,2.9,2.04
1030,3.2,2.54
1070,3,2.8
950,3,1.69
1020,3.75,3.02
1000,3.2,1.69
1090,2.5,2.38
920,3,2.21
1040,2.3,1.91
1040,3.8,2.02
930,3.1,3.09
770,3,0.61
1020,2.7,1.4
1020,2.7,2.71
1190,3,2.45
1240,4,3.44
920,2.7,2.37
1220,3.1,3.06
950,3.25,1.74
1140,3.5,3.17
1160,3.75,3.79
1080,3.75,2.98
910,2.3,2.04
1150,4,3.74
1030,2.5,1.87
1070,2.7,2
1210,3.75,1.94
1100,3.75,3.06
1000,3.75,2.67
700,2.2,1.29
1120,4,3.48
870,2.8,1.83
1120,2.3,3.24
950,4,3.23
1290,3.8,3.7
890,2.5,1.63
840,2.8,2.2
1140,3.7,3.69
1140,2,2.09
1080,3.5,3.31
1040,4,2.62
1130,3.1,2.18
740,2.75,2.56
990,2.5,2.28
980,2.5,2.14
1040,3,2.42
810,2.3,0.57
1130,3.5,2.75
1170,3.5,2.67
1140,2.5,3.25
1180,3,2.75
1010,3.25,3.22
1100,3,2.91
950,4,3.12
830,2.2,0.95
1310,4,3.48
1080,2.1,2.02
730,2.7,1.19
1000,3.3,1.88
1030,3.9,3.17
820,2.7,1.76
1080,3.8,1.74
950,2.9,2.62
1260,4,3.38
1050,3.5,2.36
900,2.75,1.15
1030,2.8,0.73
1150,3,2.8
1150,3.3,2.28
890,3.6,2.02
1120,3,2.7
1020,4,2.46
